Reg no,1. Name of national platform or if regional* (Choose from drop-down menu),2. Name of facility* (Choose from drop-down menu),3. DOI number - Prioritized identification of publication*,"4a. If no DOI number exists, report other publication identification number and type (e.g. PMID, PMCID, Manuscript ID)","4b. If no DOI number exists, Report Journal impact factor 2015",5. Type of publication (Choose from drop-down menu)*,"Registered by*
Please write your email address",ISSN,Title,Authors,Journal
229,Metabolomics,Swedish Metabolomics Centre,10.1007/s11306-015-0933-1,,3.661,Service,jonas.gullberg@slu.se,1573-3882 1573-3890,Tissue sample stability: thawing effect on multi-organ samples,"Torell F, Bennett K, ..., Lundstedt T",METABOLOMICS,
230,Metabolomics,Swedish Metabolomics Centre,10.1007/s11306-016-1120-8,,3.661,Service,jonas.gullberg@slu.se,1573-3882 1573-3890,Loss of ncm5 and mcm5 wobble uridine side chains results in an altered metabolic...,"Karlsborn T, Mahmud AKMF, ..., Byström AS",METABOLOMICS,27738410
234,Metabolomics,Swedish Metabolomics Centre,10.1016/j.cell.2015.12.018,,28.71,Service,jonas.gullberg@slu.se,0092-8674,Cryptochromes Interact Directly with PIFs to Control Plant Growth in Limiting Bl...,"Pedmale UV, Huang SC, ..., Chory J",CELL,26724867
239,Metabolomics,Swedish Metabolomics Centre,10.1073/pnas.1604375113,,9.423,Service,jonas.gullberg@slu.se,0027-8424 1091-6490,Dioxygenase-encodingAtDAO1gene controls IAA oxidation and homeostasis inArabidopsis,"Porco S, Pěnčík A, ..., Ljung K",P NATL ACAD SCI USA,27651491
244,Metabolomics,Swedish Metabolomics Centre,10.1105/tpc.16.01057,,8.538,Service,jonas.gullberg@slu.se,1040-4651 1532-298X,The Effects of High Steady State Auxin Levels on Root Cell Elongation in Brachyp...,"Pacheco-Villalobos D, Díaz-Moreno SM, ..., Hardtke CS",PLANT CELL,27152020
257,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1002/ajmg.a.37387,,2.082,Service,martin.dahlo@scilifelab.uu.se,1552-4825,Pathogenenic variant in theCOL2A1gene is associated with Spondyloepiphyseal dysp...,"Hammarsjö A, Nordgren A, ..., Grigelioniene G",AM J MED GENET A,26420734
258,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1002/art.39571,,6.009,Service,martin.dahlo@scilifelab.uu.se,2326-5191,Effect of PTPN22 Gene Variant R620W on Type I Interferon Production Stimulated b...,"Berggren O, Rönnblom L, Eloranta M",ARTHRITIS RHEUMATOL,26748951
265,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s00125-016-4041-1,,6.206,Service,martin.dahlo@scilifelab.uu.se,0012-186X 1432-0428,Non-targeted metabolomics combined with genetic analyses identifies bile acid sy...,"Fall T, Salihovic S, ..., Lind L",DIABETOLOGIA,27406814
267,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s00439-016-1654-x,,5.138,Service,martin.dahlo@scilifelab.uu.se,0340-6717 1432-1203,Allele-specific transcription factor binding to common and rare variants associa...,"Cavalli M, Pan G, ..., Wadelius C",HUM GENET,26993500
271,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s00792-016-0882-2,,2.346,Service,martin.dahlo@scilifelab.uu.se,1431-0651 1433-4909,Acidithiobacillus ferrivorans SS3 presents little RNA transcript response relat...,"Christel S, Fridlund J, ..., Dopson M",EXTREMOPHILES,27783177
272,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s10519-015-9735-5,,3.268,Service,martin.dahlo@scilifelab.uu.se,0001-8244 1573-3297,Meta-analysis of Genome-Wide Association Studies for Extraversion: Findings from...,"van den Berg SM, de Moor MHM, ..., Boomsma DI",BEHAV GENET,26362575
276,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1007/s11557-016-1199-3,,1.572,Service,martin.dahlo@scilifelab.uu.se,1617-416X 1861-8952,Scolytus multistriatus associated with Dutch elm disease on the island of Gotlan...,"Menkis A, Östbrant I, ..., Vasaitis R",MYCOL PROG,
288,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.ecss.2016.06.016,,2.335,Service,martin.dahlo@scilifelab.uu.se,0272-7714,Regional genetic differentiation in the blue mussel from the Baltic Sea area,"Larsson J, Lind E, ..., Lönn M",ESTUAR COAST SHELF S,
291,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.foreco.2016.08.006,,2.826,Service,martin.dahlo@scilifelab.uu.se,0378-1127,Long-term effects of tree harvesting on ectomycorrhizal fungal communities in bo...,"Varenius K, Kårén O, ..., Dahlberg A",FOREST ECOL MANAG,
292,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.fsigen.2016.10.008,,4.988,Service,martin.dahlo@scilifelab.uu.se,1872-4973,"Investigating kinship of Neolithic post-LBK human remains from Krusza Zamkowa, P...","Juras A, Chyleński M, ..., Dabert M",FORENSIC SCI INT-GEN,27771467
298,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.myc.2016.02.001,,1.165,Service,martin.dahlo@scilifelab.uu.se,1340-3540,DNA-metabarcoding uncovers the diversity of soil-inhabiting fungi in the tropica...,"Urbina H, Scofield DG, ..., Rosling A",MYCOSCIENCE,
299,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.virol.2016.02.017,,3.2,Service,martin.dahlo@scilifelab.uu.se,0042-6822,Distinct temporal changes in host cell lncRNA expression during the course of an...,"Zhao H, Chen M, ..., Pettersson U",VIROLOGY,27003248
300,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1016/j.ygeno.2016.04.006,,2.386,Service,martin.dahlo@scilifelab.uu.se,0888-7543,Allele-specific transcription factor binding in liver and cervix cells unveils m...,"Cavalli M, Pan G, ..., Wadelius C",GENOMICS,27126307
305,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1017/thg.2016.5,,2.339,Service,martin.dahlo@scilifelab.uu.se,1832-4274 1839-2628,One CNV Discordance in NRXN1 Observed Upon Genome-wide Screening in 38 Pairs of ...,"Magnusson PKE, Lee D, ..., Pawitan Y",TWIN RES HUM GENET,26899349
309,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ismej.2016.36,,9.328,Service,martin.dahlo@scilifelab.uu.se,1751-7362 1751-7370,Connectivity to the surface determines diversity patterns in subsurface aquifers...,"Hubalek V, Wu X, ..., Ionescu D",ISME J,27022994
312,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/mp.2016.71,,13.314,Service,martin.dahlo@scilifelab.uu.se,1359-4184 1476-5578,Evidence for three genetic loci involved in both anorexia nervosa risk and varia...,"Hinney A, Kesselmeier M, ..., Hebebrand J",MOL PSYCHIATR,27184124
314,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/nature17671,,38.138,Service,martin.dahlo@scilifelab.uu.se,0028-0836 1476-4687,Genome-wide association study identifies 74 loci associated with educational att...,"Okbay A, Beauchamp JP, ..., Benjamin DJ",NATURE,27225129
316,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/nature18642,,38.138,Service,martin.dahlo@scilifelab.uu.se,0028-0836 1476-4687,The genetic architecture of type 2 diabetes,"Fuchsberger C, Flannick J, ..., McCarthy MI",NATURE,27398621
317,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ncomms10023,,11.329,Service,martin.dahlo@scilifelab.uu.se,2041-1723,Genetic associations at 53 loci highlight cell types and biological pathways rel...,"Pattaro C, Teumer A, ..., Fox CS",NAT COMMUN,26831199
326,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3552,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,"Genetic variants associated with subjective well-being, depressive symptoms, and...","Okbay A, Baselmans BML, ..., Cesarini D",NAT GENET,27089181
327,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3598,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,"Meta-analysis of 375,000 individuals identifies 38 susceptibility loci for migraine","Gormley P, Anttila V, ..., Palotie A",NAT GENET,27322543
330,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/ng.3667,,31.616,Service,martin.dahlo@scilifelab.uu.se,1061-4036 1546-1718,The genetics of blood pressure regulation and its target organs from association...,"Ehret GB, Ferreira T, ..., Munroe PB",NAT GENET,27618452
335,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/nn.4398,,16.724,Service,martin.dahlo@scilifelab.uu.se,1097-6256 1546-1726,Novel genetic loci underlying human intracranial volume identified through genom...,"Adams HHH, Hibar DP, ..., Thompson PM",NAT NEUROSCI,27694991
337,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep22806,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,Bacterial associations reveal spatial population dynamics in Anopheles gambiae m...,"Buck M, Nilsson LKJ, ..., Terenius O",SCI REP-UK,26960555
341,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1038/srep28496,,5.228,Service,martin.dahlo@scilifelab.uu.se,2045-2322,Genetic and environmental influences on height from infancy to early adulthood: ...,"Jelenkovic A, Sund R, ..., Silventoinen K",SCI REP-UK,27333805
352,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1080/01490451.2016.1225868,,1.402,Service,martin.dahlo@scilifelab.uu.se,0149-0451 1521-0529,Mineral Type Structures Soil Microbial Communities,"Ahmed E, Hugerth LW, ..., Holmström SJM",GEOMICROBIOL J,
356,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1091/mbc.E15-10-0697,,4.037,Service,martin.dahlo@scilifelab.uu.se,1059-1524,Cytosolic splice isoform of Hsp70 nucleotide exchange factor Fes1 is required fo...,"Gowda NKC, Kaimal JM, ..., Andreasson C",MOL BIOL CELL,26912797
358,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1093/bioinformatics/btv652,,5.766,Service,martin.dahlo@scilifelab.uu.se,1367-4803 1460-2059,CopyNumber450kCancer: baseline correction for accurate copy number calling from ...,"Marzouka N, Nordlund J, ..., Carlsson Almlöf J",BIOINFORMATICS,26553913
366,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1093/hmg/ddw302,,5.985,Service,martin.dahlo@scilifelab.uu.se,0964-6906 1460-2083,Epigenome-wide association study reveals differential DNA methylation in individ...,"Rask-Andersen M, Martinsson D, ..., Johansson Å",HUM MOL GENET,
368,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1093/ije/dyw245,,7.522,Service,martin.dahlo@scilifelab.uu.se,0300-5771 1464-3685,Novel genetic loci associated with long-term deterioration in blood lipid concen...,"Varga TV, Kurbasic A, ..., Franks PW",INT J EPIDEMIOL,27864399
370,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1093/molbev/msw051,,13.649,Service,martin.dahlo@scilifelab.uu.se,0737-4038 1537-1719,Variation in Linked Selection and Recombination Drive Genomic Divergence during ...,"Wang J, Street NR, ..., Ingvarsson PK",MOL BIOL EVOL,26983554
374,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1099/ijsem.0.001497,,2.439,Service,martin.dahlo@scilifelab.uu.se,1466-5026 1466-5034,Proposal of Coetzeea brasiliensis gen. nov. sp. nov. isolated from larvae of Ano...,"Kämpfer P, Guy L, ..., Marinotti O",INT J SYST EVOL MICR,27624755
376,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1101/gr.204669.116,,11.351,Service,martin.dahlo@scilifelab.uu.se,1088-9051 1549-5469,Direct estimate of the rate of germline mutation in a bird,"Smeds L, Qvarnström A, Ellegren H",GENOME RES,27412854
383,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1111/1755-0998.12602,,5.298,Service,martin.dahlo@scilifelab.uu.se,1755-098X,Genomic distribution and estimation of nucleotide diversity in natural populatio...,"Dutoit L, Burri R, ..., Ellegren H",MOL ECOL RESOUR,27717155
388,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1111/efp.12236,,1.437,Service,martin.dahlo@scilifelab.uu.se,1437-4781,"Analyses of the ash dieback pathogen,Hymenoscyphus fraxineus, suggest role of tr...","Nguyen DT, Cleary MR, ..., Stenlid J",FOREST PATHOL,
390,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1111/gfs.12238,,1.617,Service,martin.dahlo@scilifelab.uu.se,0142-5242,Separating the effects of forage source and field microbiota on silage fermentat...,"Mogodiniyai Kasmaei K, Dicksved J, ..., Udén P",GRASS FORAGE SCI,
396,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1111/mec.13797,,5.947,Service,martin.dahlo@scilifelab.uu.se,0962-1083,Genetic rescue in a severely inbred wolf population,"Åkesson M, Liberg O, ..., Flagstad Ø",MOL ECOL,27497431
398,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1111/nph.13946,,7.21,Service,martin.dahlo@scilifelab.uu.se,0028-646X,Phytophthora infestansArgonaute 1 binds microRNA and small RNAs from effector ge...,"Åsman AKM, Fogelqvist J, ..., Dixelius C",NEW PHYTOL,27010746
405,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1128/genomeA.00175-16,,1.18,Service,martin.dahlo@scilifelab.uu.se,2169-8287,Draft Genome Sequence of Streptococcus gordonii Type Strain CCUG 33482 T,"Salvà-Serra F, Jakobsson HE, ..., Moore ERB",,27013051
414,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1158/1538-7445.AM2016-2473,,8.556,Service,martin.dahlo@scilifelab.uu.se,0008-5472 1538-7445,Abstract 2473: Combined BET-bromodomain and CDK2 inhibition in MYC-driven medull...,"Bolin S, Borgenvik A, ..., Swartling FJ",CANCER RES,
415,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1158/1538-7445.AM2016-2688,,8.556,Service,martin.dahlo@scilifelab.uu.se,0008-5472 1538-7445,Abstract 2688: A forward genetics screen of murine brain tumors identifies novel...,"Cancer M, Weishaupt H, ..., Swartling FJ",CANCER RES,
419,National Bioinformatics Infrastructure Sweden,Bioinformatics Compute and Storage (UPPNEX),10.1172/jci.insight.86837,,Kan inte hitta,Service,martin.dahlo@scilifelab.uu.se,2379-3708,Profiling cancer testis antigens in non–small-cell lung cancer,"Djureinovic D, Hallström BM, ..., Micke P",,27699219
