Reg no,1. Name of national platform or if regional* (Choose from drop-down menu),2. Name of facility* (Choose from drop-down menu),3. DOI number - Prioritized identification of publication*,"4a. If no DOI number exists, report other publication identification number and type (e.g. PMID, PMCID, Manuscript ID)","4b. If no DOI number exists, Report Journal impact factor 2015",5. Type of publication (Choose from drop-down menu)*,"Registered by*
Please write your email address",ISSN,Title,Authors,Journal,
38,Structural Biology,Swedish NMR Centre (SNC),10.1021/acs.biochem.6b00848,,2.876,Collaborative,goran.karlsson@nmr.gu.se,0006-2960 1520-4995,Nuclear Magnetic Resonance Structure and Mutational Analysis of the Lactococcin ...,"Kristiansen PE, Persson C, ..., Oppegård C",BIOCHEMISTRY-US,27808503
39,Structural Biology,Swedish NMR Centre (SNC),10.1021/acs.jpclett.6b02346,,8.539,Collaborative,goran.karlsson@nmr.gu.se,1948-7185,Ionization of Cellobiose in Aqueous Alkali and the Mechanism of Cellulose Dissol...,"Bialik E, Stenqvist B, ..., Bernin D",J PHYS CHEM LETT,27973886
40,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1111/cge.12890,,3.892,Service,mathias.brannvall@medsci.uu.se,0009-9163,A genetic risk score is significantly associated with statin therapy response in...,"Ciuculete D, Bandstein M, ..., Mwinyi J",CLIN GENET,27943270
41,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1136/gutjnl-2016-313346,,14.921,Service,mathias.brannvall@medsci.uu.se,0017-5749 1468-3288,TRPM8 polymorphisms associated with increased risk of IBS-C and IBS-M,"Henström M, Hadizadeh F, ..., D'Amato M",GUT,27974553
42,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1016/j.celrep.2016.11.056,,7.87,Service,mathias.brannvall@medsci.uu.se,2211-1247,Clonal Variation in Drug and Radiation Response among Glioma-Initiating Cells Is...,"Segerman A, Niklasson M, ..., Westermark B",CELL REP,27974212
43,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1111/mec.13596,,5.947,Service,mathias.brannvall@medsci.uu.se,0962-1083,Divergence in gene expression within and between two closely related flycatcher ...,"Uebbing S, Künstner A, ..., Ellegren H",MOL ECOL,26928872
45,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1186/s13068-016-0454-9,-,6.444,Service,ellen.sherwood@scilifelab.se,1754-6834,Bacterial community composition and fhs profiles of low- and high-ammonia biogas...,"Müller B, Sun L, ..., Schnürer A",BIOTECHNOL BIOFUELS,26925165
46,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1111/cge.12565,-,3.892,Service,ellen.sherwood@scilifelab.se,0009-9163,Mutations in FLVCR2 associated with Fowler syndrome and survival beyond infancy,"Kvarnung M, Taylan F, ..., Syk Lundberg E",CLIN GENET,25677735
47,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.cmi.2015.09.004,-,4.575,Service,ellen.sherwood@scilifelab.se,1198-743X,Composition of human faecal microbiota in resistance to Campylobacter infection,"Kampmann C, Dicksved J, ..., Rautelin H",CLIN MICROBIOL INFEC,26369602
48,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1101/gr.197566.115,-,11.351,Service,ellen.sherwood@scilifelab.se,1088-9051 1549-5469,nanoCAGE reveals 5′ UTR features that define specific modes of translation of fu...,"Gandin V, Masvidal L, ..., Topisirovic I",GENOME RES,26984228
49,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1099/ijsem.0.000855,-,2.439,Service,ellen.sherwood@scilifelab.se,1466-5026 1466-5034,Reclassification of Wolbachia persica as Francisella persica comb. nov. and emen...,"Larson MA, Hinrichs SH, ..., Cer RZ",INT J SYST EVOL MICR,26747442
52,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.ijcard.2016.11.066,-,4.638,Service,ellen.sherwood@scilifelab.se,0167-5273,Massive parallel sequencing questions the pathogenic role of missense variants i...,"Dalin MG, Engström PG, ..., Bergo MO",INT J CARDIOL,27886618
53,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1038/srep23532,-,5.228,Service,ellen.sherwood@scilifelab.se,2045-2322,Metagenomic analysis of bloodstream infections in patients with acute leukemia a...,"Gyarmati P, Kjellander C, ..., Giske CG",SCI REP-UK,26996149
54,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1111/gcb.13214,-,8.444,Service,ellen.sherwood@scilifelab.se,1354-1013,Synchronous genetic turnovers across Western Eurasia in Late Pleistocene collare...,"Palkopoulou E, Baca M, ..., Dalén L",GLOBAL CHANGE BIOL,26919067
55,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.ajhg.2016.06.026,-,10.794,Service,ellen.sherwood@scilifelab.se,0002-9297,Absence of the Autophagy Adaptor SQSTM1/p62 Causes Childhood-Onset Neurodegenera...,"Haack TB, Ignatius E, ..., Klopstock T",AM J HUM GENET,27545679
56,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.5194/bg-13-4751-2016,-,4.1,Service,ellen.sherwood@scilifelab.se,1726-4189,Effects of wastewater treatment plant effluent inputs on planktonic metabolic ra...,"Vaquer-Sunyer R, Reader HE, ..., Kritzberg ES",Biogeosciences (e),
57,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.15252/msb.20167144,-,10.581,Service,ellen.sherwood@scilifelab.se,1744-4292 1744-4292 1744-4292,Gene‐specific correlation of RNA and protein levels in human cells and tissues,"Edfors F, Danielsson F, ..., Uhlén M",MOL SYST BIOL,27951527
58,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1371/journal.pone.0167453,-,3.057,Collaborative,ellen.sherwood@scilifelab.se,1932-6203,Genetic Variants in CHIA and CHI3L1 Are Associated with the IgE Response to the ...,"Acevedo N, Bornacelly A, ..., Caraballo L",PLOS ONE,27977724
59,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.jaci.2016.09.050,-,12.485,Service,ellen.sherwood@scilifelab.se,0091-6749,To the Editor: Combined immunodeficiency and hypoglycemia associated with mutati...,"Haapaniemi EM, Fogarty CL, ..., Kere J",J ALLERGY CLIN IMMUN,27913302
60,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1007/s10096-016-2842-2,-,2.857,Service,ellen.sherwood@scilifelab.se,0934-9723 1435-4373,Genomic analysis reveals the presence of a class D beta-lactamase with broad sub...,"Zangenah S, Andersson AF, ..., Bergman P",EUR J CLIN MICROBIOL,27909820
61,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1210/en.2016-1758,-,4.159,Service,ellen.sherwood@scilifelab.se,0013-7227 1945-7170,The human adrenal gland proteome defined by transcriptomics and antibody-based p...,"Bergman J, Botling J, ..., Pontén F",ENDOCRINOLOGY,
62,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.15252/msb.20166951,-,10.581,Service,ellen.sherwood@scilifelab.se,1744-4292 1744-4292 1744-4292,Disentangling genetic and epigenetic determinants of ultrafast adaptation,"Gjuvsland AB, Zörgö E, ..., Warringer J",MOL SYST BIOL,27979908
63,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1016/j.cels.2016.10.020,-,Kan inte hitta,Service,ellen.sherwood@scilifelab.se,2405-4712,A Consensus Genome-scale Reconstruction of Chinese Hamster Ovary Cell Metabolism,"Hefzi H, Ang KS, ..., Lewis NE",Cell Systems,27883890
64,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1371/journal.pone.0168153,-,3.057,Service,ellen.sherwood@scilifelab.se,1932-6203,The In Vitro Stability of Circulating Tumour DNA,"Henao Diaz E, Yachnin J, ..., Lindberg J",PLOS ONE,27959945
65,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.3389/fmicb.2016.01883,-,4.165,Service,ellen.sherwood@scilifelab.se,1664-302X,Phylogenetic Signals of Salinity and Season in Bacterial Community Composition A...,"Herlemann DPR, Lundin D, ..., Jürgens K",FRONT MICROBIOL,
66,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.15252/msb.20155865,-,10.581,Service,ellen.sherwood@scilifelab.se,1744-4292,Transcriptomics resources of human tissues and organs,"Uhlen M, Hallstro m BM, ..., Nielsen J",MOL SYST BIOL,27044256
67,National Genomics Infrastructure,NGI Stockholm (Genomics Production),10.1111/nph.14153,-,7.21,Service,ellen.sherwood@scilifelab.se,0028-646X,Towards integration of population and comparative genomics in forest trees,"Ingvarsson PK, Hvidsten TR, Street NR",NEW PHYTOL,27575589
68,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1186/s13068-016-0454-9,,6.444,Service,max.kaller@scilifelab.se,1754-6834,Bacterial community composition and fhs profiles of low- and high-ammonia biogas...,"Müller B, Sun L, ..., Schnürer A",BIOTECHNOL BIOFUELS,26925165
69,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1111/cge.12565,,3.892,Service,max.kaller@scilifelab.se,0009-9163,Mutations in FLVCR2 associated with Fowler syndrome and survival beyond infancy,"Kvarnung M, Taylan F, ..., Syk Lundberg E",CLIN GENET,25677735
70,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.cmi.2015.09.004,,4.575,Service,max.kaller@scilifelab.se,1198-743X,Composition of human faecal microbiota in resistance to Campylobacter infection,"Kampmann C, Dicksved J, ..., Rautelin H",CLIN MICROBIOL INFEC,26369602
71,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1101/gr.197566.115,,11.351,Service,max.kaller@scilifelab.se,1088-9051 1549-5469,nanoCAGE reveals 5′ UTR features that define specific modes of translation of fu...,"Gandin V, Masvidal L, ..., Topisirovic I",GENOME RES,26984228
72,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1099/ijsem.0.000855,,2.439,Service,max.kaller@scilifelab.se,1466-5026 1466-5034,Reclassification of Wolbachia persica as Francisella persica comb. nov. and emen...,"Larson MA, Hinrichs SH, ..., Cer RZ",INT J SYST EVOL MICR,26747442
75,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.ijcard.2016.11.066,,4.638,Service,max.kaller@scilifelab.se,0167-5273,Massive parallel sequencing questions the pathogenic role of missense variants i...,"Dalin MG, Engström PG, ..., Bergo MO",INT J CARDIOL,27886618
76,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1038/srep23532,,5.228,Service,max.kaller@scilifelab.se,2045-2322,Metagenomic analysis of bloodstream infections in patients with acute leukemia a...,"Gyarmati P, Kjellander C, ..., Giske CG",SCI REP-UK,26996149
77,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1111/gcb.13214,,8.444,Service,max.kaller@scilifelab.se,1354-1013,Synchronous genetic turnovers across Western Eurasia in Late Pleistocene collare...,"Palkopoulou E, Baca M, ..., Dalén L",GLOBAL CHANGE BIOL,26919067
78,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.ajhg.2016.06.026,,10.794,Service,max.kaller@scilifelab.se,0002-9297,Absence of the Autophagy Adaptor SQSTM1/p62 Causes Childhood-Onset Neurodegenera...,"Haack TB, Ignatius E, ..., Klopstock T",AM J HUM GENET,27545679
79,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.5194/bg-13-4751-2016,,4.1,Service,max.kaller@scilifelab.se,1726-4189,Effects of wastewater treatment plant effluent inputs on planktonic metabolic ra...,"Vaquer-Sunyer R, Reader HE, ..., Kritzberg ES",Biogeosciences (e),
80,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.15252/msb.20167144,,10.581,Service,max.kaller@scilifelab.se,1744-4292 1744-4292 1744-4292,Gene‐specific correlation of RNA and protein levels in human cells and tissues,"Edfors F, Danielsson F, ..., Uhlén M",MOL SYST BIOL,27951527
81,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1371/journal.pone.0167453,,3.057,Service,max.kaller@scilifelab.se,1932-6203,Genetic Variants in CHIA and CHI3L1 Are Associated with the IgE Response to the ...,"Acevedo N, Bornacelly A, ..., Caraballo L",PLOS ONE,27977724
82,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.jaci.2016.09.050,,12.485,Service,max.kaller@scilifelab.se,0091-6749,To the Editor: Combined immunodeficiency and hypoglycemia associated with mutati...,"Haapaniemi EM, Fogarty CL, ..., Kere J",J ALLERGY CLIN IMMUN,27913302
83,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1007/s10096-016-2842-2,,2.857,Service,max.kaller@scilifelab.se,0934-9723 1435-4373,Genomic analysis reveals the presence of a class D beta-lactamase with broad sub...,"Zangenah S, Andersson AF, ..., Bergman P",EUR J CLIN MICROBIOL,27909820
84,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1210/en.2016-1758,,4.159,Service,max.kaller@scilifelab.se,0013-7227 1945-7170,The human adrenal gland proteome defined by transcriptomics and antibody-based p...,"Bergman J, Botling J, ..., Pontén F",ENDOCRINOLOGY,
85,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.15252/msb.20166951,,10.581,Service,max.kaller@scilifelab.se,1744-4292 1744-4292 1744-4292,Disentangling genetic and epigenetic determinants of ultrafast adaptation,"Gjuvsland AB, Zörgö E, ..., Warringer J",MOL SYST BIOL,27979908
86,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1016/j.cels.2016.10.020,,Kan inte hitta,Service,max.kaller@scilifelab.se,2405-4712,A Consensus Genome-scale Reconstruction of Chinese Hamster Ovary Cell Metabolism,"Hefzi H, Ang KS, ..., Lewis NE",Cell Systems,27883890
87,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.1371/journal.pone.0168153,,3.057,Service,max.kaller@scilifelab.se,1932-6203,The In Vitro Stability of Circulating Tumour DNA,"Henao Diaz E, Yachnin J, ..., Lindberg J",PLOS ONE,27959945
88,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),10.3389/fmicb.2016.01883,,4.165,Service,max.kaller@scilifelab.se,1664-302X,Phylogenetic Signals of Salinity and Season in Bacterial Community Composition A...,"Herlemann DPR, Lundin D, ..., Jürgens K",FRONT MICROBIOL,
89,Next-Generation Diagnostics,Translational and Clinical Genomics,10.1038/ncomms11790,,11.329,Collaborative,Thoas.Fioretos@med.lu.se,2041-1723,Identification of ETV6-RUNX1-like and DUX4-rearranged subtypes in paediatric B-c...,"Lilljebjörn H, Henningsson R, ..., Fioretos T",NAT COMMUN,27265895
90,Next-Generation Diagnostics,Translational and Clinical Genomics,10.1007/s11060,,1.72,Service,ingrid.wilson@med.lu.se,,,,Journal of Neuro-Oncology,27805003
91,Affinity Proteomics,Biobank Profiling,10.1002/pmic.201500398,"Ayoglu, DCA",4.079,Technology development,maja.neiman@scilifelab.se,1615-9853,Multiplexed protein profiling by sequential affinity capture,"Ayoglu B, Birgersson E, ..., Schwenk JM",PROTEOMICS,26935855
92,Affinity Proteomics,Biobank Profiling,10.1002/prca.201500150,"Remnestål, CSF ALZ",2.959,Collaborative,maja.neiman@scilifelab.se,1862-8346,CSF profiling of the human brain enriched proteome reveals associations of neuro...,"Remnestål J, Just D, ..., Häggmark-Månberg A",PROTEOM CLIN APPL,27604409
93,Affinity Proteomics,Biobank Profiling,10.1016/j.bbr.2016.08.058,"Thelin, Traumatic brain injury",3.002,Collaborative,maja.neiman@scilifelab.se,0166-4328,Protein profiling in serum after traumatic brain injury in rats reveals potentia...,"Thelin EP, Just D, ..., Bellander B",BEHAV BRAIN RES,27591967
94,Affinity Proteomics,Biobank Profiling,10.1021/acs.jproteome.5b01131,"Hong, normalisation",4.173,Technology development,maja.neiman@scilifelab.se,1535-3893 1535-3907,Multidimensional Normalization to Minimize Plate Effects of Suspension Bead Arra...,"Hong M, Lee W, ..., Schwenk JM",J PROTEOME RES,27570895
95,Affinity Proteomics,Biobank Profiling,10.1111/all.12927,"Hamsten, Astma",6.335,Collaborative,maja.neiman@scilifelab.se,0105-4538,"Protein profiles of CCL5, HPGDS, and NPSR1 in plasma reveal association with chi...","Hamsten C, Häggmark A, ..., van Hage M",ALLERGY,27145233
96,Affinity Proteomics,Biobank Profiling,10.1111/liv.13174,"Mikus, DILI",4.47,Collaborative,maja.neiman@scilifelab.se,1478-3223,Elevated levels of circulating CDH5 and FABP1 in association with human drug-ind...,"Mikus M, Drobin K, ..., Schuppe-Koistinen I",LIVER INT,27224670
97,Affinity Proteomics,Biobank Profiling,10.1182/blood-2016-05-711846,"Bruzelius, Verema",11.847,Collaborative,maja.neiman@scilifelab.se,0006-4971 1528-0020,"PDGFB, a new candidate plasma biomarker for venous thromboembolism: results from...","Bruzelius M, Iglesias MJ, ..., Odeberg J",BLOOD,27742707
98,Affinity Proteomics,Biobank Profiling,10.1186/s12931-016-0381-0,"Hamsten, BAL sarcoidos",3.751,Collaborative,maja.neiman@scilifelab.se,1465-993X,Elevated levels of FN1 and CCL2 in bronchoalveolar lavage fluid from sarcoidosis...,"Hamsten C, Wiklundh E, ..., Häggmark-Månberg A",RESP RES,27259755
99,Affinity Proteomics,Biobank Profiling,10.1371/journal.pone.0150672,"Khoonsari, CSF ALZ",3.057,Collaborative,maja.neiman@scilifelab.se,1932-6203,Analysis of the Cerebrospinal Fluid Proteome in Alzheimer's Disease,"Khoonsari PE, Häggmark A, ..., Shevchenko G",PLOS ONE,26950848
100,Affinity Proteomics,Biobank Profiling,10.1586/14789450.2016.1111141,"Fredolini, IC-MS",3.465,Technology development,maja.neiman@scilifelab.se,1478-9450 1744-8387,Immunocapture strategies in translational proteomics,"Fredolini C, Byström S, ..., Schwenk JM",EXPERT REV PROTEOMIC,26558424
101,Affinity Proteomics,Biobank Profiling,10.3233/JAD-160271,"Musunuri, microvesicles in ALZ",3.92,Collaborative,maja.neiman@scilifelab.se,1387-2877 1875-8908,Increased Levels of Extracellular Microvesicle Markers and Decreased Levels of E...,"Musunuri S, Khoonsari PE, ..., Kultima K",J ALZHEIMERS DIS,24016306
102,Affinity Proteomics,Cell Profiling,10.1021/acs.jproteome.5b00769,,4.173,Service,emma.lundberg@scilifelab.se,1535-3893 1535-3907,Systems Proteomics View of the Endogenous Human Claudin Protein Family,"Liu F, Koval M, ..., Baker MS",J PROTEOME RES,26680015
103,Affinity Proteomics,Cell Profiling,10.1021/acs.jproteome.6b00821,,4.173,Technology development,emma.lundberg@scilifelab.se,1535-3893 1535-3907,Antibody Validation in Bioimaging Applications Based on Endogenous Expression of...,"Skogs M, Stadler C, ..., Lundberg E",J PROTEOME RES,27723985
104,Affinity Proteomics,Cell Profiling,10.1038/nmeth.3995,,25.328,Collaborative and Technology development,emma.lundberg@scilifelab.se,1548-7091 1548-7105,A proposal for validation of antibodies,"Uhlen M, Bandrowski A, ..., Yamamoto T",NAT METHODS,27595404
105,Affinity Proteomics,Cell Profiling,10.1083/jcb.201601090,,8.717,Collaborative,emma.lundberg@scilifelab.se,0021-9525 1540-8140,The endosomal transcriptional regulator RNF11 integrates degradation and transpo...,"Scharaw S, Iskar M, ..., Pepperkok R",J CELL BIOL,27872256
106,Affinity Proteomics,Fluorescence Tissue Profiling,10.1002/prca.201500150,,2.959,Collaborative,jan.mulder@scilifelab.se,1862-8346,CSF profiling of the human brain enriched proteome reveals associations of neuro...,"Remnestål J, Just D, ..., Häggmark-Månberg A",PROTEOM CLIN APPL,27604409
107,Affinity Proteomics,Fluorescence Tissue Profiling,10.1016/j.bbagen.2016.11.002,,5.083,Collaborative,jan.mulder@scilifelab.se,0304-4165,Opioid precursor protein isoform is targeted to the cell nuclei in the human brain,"Kononenko O, Bazov I, ..., Bakalkin G",BBA-GEN SUBJECTS,27838394
108,Affinity Proteomics,Fluorescence Tissue Profiling,10.1073/pnas.1518553113,,9.423,Collaborative,jan.mulder@scilifelab.se,0027-8424 1091-6490,Anoctamin 2 identified as an autoimmune target in multiple sclerosis,"Ayoglu B, Mitsios N, ..., Nilsson P",P NATL ACAD SCI USA,26862169
109,Affinity Proteomics,Fluorescence Tissue Profiling,10.1126/science.aaf2403,,34.661,Collaborative,jan.mulder@scilifelab.se,0036-8075 1095-9203,Visualization and analysis of gene expression in tissue sections by spatial tran...,"Stahl PL, Salmen F, ..., Frisen J",SCIENCE,27365449
110,Affinity Proteomics,Fluorescence Tissue Profiling,10.18632/oncotarget.9632,,5.008,Collaborative,jan.mulder@scilifelab.se,1949-2553,Survival-associated heterogeneity of marker-defined perivascular cells in colore...,"Mezheyeuski A, Bradic Lindh M, ..., Östman A",ONCOTARGET,
111,Affinity Proteomics,Fluorescence Tissue Profiling,10.3389/fneur.2016.00023,,3.184,Collaborative,jan.mulder@scilifelab.se,1664-2295,Lesion Size Is Exacerbated in Hypoxic Rats Whereas Hypoxia-Inducible Factor-1 Al...,"Thelin EP, Frostell A, ..., Bellander B",FRONT NEUROL,27014178
112,Affinity Proteomics,Fluorescence Tissue Profiling,N/A,NN-A54227D,16.72,Collaborative,jan.mulder@scilifelab.se,,,,,27805003
113,Affinity Proteomics,Fluorescence Tissue Profiling,N/A,NUCMEDBIO_2016_303,2.4,Collaborative,jan.mulder@scilifelab.se,,,,,27805003
114,Affinity Proteomics,PLA Proteomics,10.1016/j.celrep.2015.12.021,,7.87,Technology development,masood.kamali@igp.uu.se,2211-1247,Simultaneous Multiplexed Measurement of RNA and Proteins in Single Cells,"Darmanis S, Gallant CJ, ..., Landegren U",CELL REP,26748716
115,Affinity Proteomics,PLA Proteomics,10.1038/srep34358,,5.228,Technology development,masood.kamali@igp.uu.se,2045-2322,Detecting individual extracellular vesicles using a multicolor in situ proximity...,"Löf L, Ebai T, ..., Kamali-Moghaddam M",SCI REP-UK,27681459
