National/ Regional,Platform,Facility,Authors,Title of publication,Journal,Volume,Issue,Pages y-x,Year of publication,"Co-publication, academy - industry, (yes/no)",Journal Impact factor ,
National,Affinity proteomics,Cell Profiling (KTH),"Bock T, Moest H, Omasits U, Dolski S, Lundberg E, Frei A, Hofmann A, Bausch-Fluck D, Jacobs A, Krayenbuehl N, Uhlen M, Aebersold R, Frei K, Wollscheid B.",Proteomic analysis reveals drug accessible cell surface N-glycoproteins of primary and established glioblastoma cell lines.,J Proteome Res,11,10,4885-93,2012,no,5.056,22909291
National,Affinity proteomics,Cell Profiling (KTH),"Stadler C, Hjelmare M, Neumann B, Jonasson K, Pepperkok R, UhlÃ©n M, Lundberg E.",Systematic validation of antibody binding and protein subcellular localization using siRNA and confocal microscopy.,J Proteomics,75,7,2236-51,2012,no,4.088,22361696
National,Affinity proteomics,Cell Profiling (KTH),"Dengjel J, HÃ¸yer-Hansen M, Nielsen MO, Eisenberg T, Harder LM, Schandorff S, Farkas T, Kirkegaard T, Becker AC, Schroeder S, Vanselow K, Lundberg E, Nielsen MM, Kristensen AR, Akimov V, Bunkenborg J, Madeo F, JÃ¤Ã¤ttelÃ¤ M, Andersen JS.",Identification of autophagosome-associated proteins and regulators by quantitative proteomic analysis and genetic screens.,Mol Cell Proteomics,11,3,Mol Cell Proteomics,2012,no,7.251,22311637
National,Affinity proteomics,Cell Profiling (KTH),"UhlÃ©n M, Oksvold P, Ã„lgenÃ¤s C, Hamsten C, Fagerberg L, Klevebring D, Lundberg E, Odeberg J, PontÃ©n F, Kondo T, Sivertsson Ã….",Antibody-based protein profiling of the human chromosome 21.,Mol Cell Proteomics,11,3,M111.013458,2012,no,7.251,22042635
National,Affinity proteomics,Cell Profiling (KTH),"Larance M, Kirkwood KJ, Xirodimas DP, Lundberg E, Uhlen M, Lamond AI.",Characterization of MRFAP1 turnover and interactions downstream of the NEDD8 pathway.,Mol Cell Proteomics,11,3,M111.014407,2012,no,7.251,22038470
National,Affinity proteomics,Cell Profiling (KTH),"Ahmad Y, Boisvert FM, Lundberg E, Uhlen M, Lamond AI",Systematic analysis of protein pools and modifications affecting turnover and subcellular localization.,Mol Cell Proteomics,11,3,M111.013680,2012,no,7.251,22002106
National,Affinity proteomics,Cell Profiling (KTH),"Zeiler M, Straube WL, Lundberg E, Uhlen M, Mann M.",A Protein Epitope Signature Tag (PrEST) library allows SILAC-based absolute quantification and multiplexed determination of protein copy numbers in cell lines.,Mol Cell Proteomics,11,3,O111.009613,2012,no,7.251,21964433
National,Affinity proteomics,Cell Profiling (KTH),"Li J, Newberg JY, UhlÃ©n M, Lundberg E, Murphy RF.",Automated analysis and reannotation of subcellular locations in confocal images from the Human Protein Atlas.,PLoS One,7,11,e50514,2012,no,3.73,23226299
National,Affinity proteomics,Cell Profiling (KTH),"Li J, Shariff A, Wiking M, Lundberg E, Rohde GK, Murphy RF.",Estimating microtubule distributions from 2D immunofluorescence microscopy images reveals differences among human cultured cell lines.,PLoS One,7,11,e50292,2012,no,3.73,23209697
National,Affinity proteomics,Cell Profiling (KTH),"Danielsson F, Wiking M, Mahdessian D, Skogs M, Ait Blal H, Hjelmare M, Stadler C, UhlÃ©n M, Lundberg E.",RNA deep sequencing as a tool for selection of cell lines for systematic subcellular localization of all human proteins.,J Proteome Res,12,1,299-307,2013,no,5.001,23227862
National,Affinity proteomics,Cell Profiling (KTH),"Fagerberg L, Oksvold P, Skogs M, AlgenÃ¤s C, Lundberg E, PontÃ©n F, Sivertsson A, Odeberg J, Klevebring D, Kampf C, Asplund A, SjÃ¶stedt E, Al-Khalili Szigyarto C, Edqvist PH, Olsson I, Rydberg U, Hudson P, Ottosson Takanen J, Berling H, BjÃ¶rling L, Tegel H, Rockberg J, et al.",Contribution of antibody-based protein profiling to the human Chromosome-centric Proteome Project (C-HPP).,J Proteome Res,12,6,2439-48,2013,no,5.001,23276153
National,Affinity proteomics,Cell Profiling (KTH),"Liu S, Im H, Bairoch A, Cristofanilli M, Chen R, Deutsch EW, Dalton S, Fenyo D, Fanayan S, Gates C, Gaudet P, Hincapie M, Hanash S, Kim H, Jeong SK, Lundberg E, Mias G, Menon R, Mu Z, Nice E, Paik YK, Uhlen M, et al.",A chromosome-centric human proteome project (C-HPP) to characterize the sets of proteins encoded in chromosome 17.,J Proteome Res,12,1,45-57,2013,no,5.001,23259914
National,Affinity proteomics,Cell Profiling (KTH),"Geiger T, Velic A, Macek B, Lundberg E, Kampf C, Nagaraj N, Uhlen M, Cox J, Mann M.",Initial quantitative proteomic map of 28 mouse tissues using the SILAC mouse.,Mol Cell Proteomics,12,6,1709-22,2013,no,7.254,23436904
National,Affinity proteomics,Cell Profiling (KTH),"Stadler C, Rexhepaj E, Singan VR, Murphy RF, Pepperkok R, UhlÃ©n M, Simpson JC, Lundberg E.",Immunofluorescence and fluorescent-protein tagging show high correlation for protein localization in mammalian cells.,Nat Methods,10,4,315-23,2013,no,25.953,23435261
National,Affinity proteomics,Cell Profiling (KTH),"Danielsson F, Skogs M, Huss M, Rexhepaj E, O'Hurley G, Klevebring D, PontÃ©n F, Gad AK, UhlÃ©n M, Lundberg E.",Majority of differentially expressed genes are down-regulated during malignant transformation in a four-stage model.,P Natl Acad Sci USA,110,17,6853-8,2013,no,9.809,23569271
National,Affinity proteomics,Cell Profiling (KTH),"Rexhepaj E, AgnarsdÃ³ttir M, Bergman J, Edqvist PH, Bergqvist M, UhlÃ©n M, Gallagher WM, Lundberg E, Ponten F.",A texture based pattern recognition approach to distinguish melanoma from non-melanoma cells in histopathological tissue microarray sections.,PLoS One,8,5,e62070,2013,no,3.534,23690928
National,Affinity proteomics,Cell Profiling (KTH),"AlgenÃ¤s C, Agaton C, Fagerberg L, Asplund A, BjÃ¶rling L, BjÃ¶rling E, Kampf C, Lundberg E, Nilsson P, Persson A, Wester K, PontÃ©n F, WernÃ©rus H, UhlÃ©n M, Ottosson Takanen J, Hober S.",Antibody performance in western blot applications is context-dependent.,Biotechnol J,9,3,435-45,2014,no,3.708,24403002
National,Affinity proteomics,Cell Profiling (KTH),"Liem DA, Nsair A, Setty SP, Cadeiras M, Wang D, Maclellan R, Lotz C, Lin AJ, Tabaraki J, Li H, Ge J, Odeberg J, Ponten F, Larson E, Mulder J, Lundberg E, Weiss JN, Uhlen M, Ping P, Deng MC.",Molecular- and organelle-based predictive paradigm underlying recovery by left ventricular assist device support.,Circ-Heart Fail,7,2,359-66,2014,no,5.945,24643888
National,Affinity proteomics,Cell Profiling (KTH),"Kampf C, Mardinoglu A, Fagerberg L, HallstrÃ¶m BM, Edlund K, Lundberg E, PontÃ©n F, Nielsen J, Uhlen M.",The human liver-specific proteome defined by transcriptomics and antibody-based profiling.,FASEB J,28,7,2901-14,2014,no,5.48,24648543
National,Affinity proteomics,Cell Profiling (KTH),"Alm T, von Feilitzen K, Lundberg E, Sivertsson Ã…, UhlÃ©n M.",A chromosome-centric analysis of antibodies directed toward the human proteome using Antibodypedia.,J Proteome Res,13,3,1669-76,2014,no,5.001,24533432
National,Affinity proteomics,Cell Profiling (KTH),"Lane L, Bairoch A, Beavis RC, Deutsch EW, Gaudet P, Lundberg E, Omenn GS.",Metrics for the Human Proteome Project 2013-2014 and strategies for finding missing proteins.,J Proteome Res,13,1,15-20,2014,no,5.001,24364385
National,Affinity proteomics,Cell Profiling (KTH),"Stadler C, Fagerberg L, Sivertsson Ã…, Oksvold P, Zwahlen M, HallstrÃ¶m BM, Lundberg E, UhlÃ©n M.",RNA- and antibody-based profiling of the human proteome with focus on chromosome 19.,J Proteome Res,13,4,2019-27,2014,no,5.001,24579871
National,Affinity proteomics,Cell Profiling (KTH),"Edfors F, BostrÃ¶m T, ForsstrÃ¶m B, Zeiler M, Johansson H, Lundberg E, Hober S, LehtiÃ¶ J, Mann M, Uhlen M.",Immunoproteomics using polyclonal antibodies and stable isotope-labeled affinity-purified recombinant proteins.,Mol Cell Proteomics,13,6,1611-24,2014,no,7.254,24722731
National,Affinity proteomics,Cell Profiling (KTH),"Fagerberg L, HallstrÃ¶m BM, Oksvold P, Kampf C, Djureinovic D, Odeberg J, Habuka M, Tahmasebpoor S, Danielsson A, Edlund K, Asplund A, SjÃ¶stedt E, Lundberg E, Szigyarto CA, Skogs M, Takanen JO, Berling H, Tegel H, Mulder J, Nilsson P, Schwenk JM, Lindskog C, et al.",Analysis of the human tissue-specific expression by genome-wide integration of transcriptomics and antibody-based proteomics.,Mol Cell Proteomics,13,2,397-406,2014,no,7.254,24309898
National,Affinity proteomics,Fluorescence Tissue Profiling (KI),"Davor Stanić, Jan Mulder, Masahiko Watanabe, Tomas Hökfelt","Characterization of NPY Y2 receptor protein expression in the mouse brain. II. Coexistence with NPY, the Y1 receptor, and other neurotransmitter-related molecules.",J Comp Neurol,519,17,1219-1257,2011,no,3.808,21452195
National,Affinity proteomics,Fluorescence Tissue Profiling (KI),"Charlotte Lindfors, Ida A K Nilsson, Pablo M Garcia-Roves, Aamir R Zuberi, Mohsen Karimi, Leah Rae Donahue, Derry C Roopenian, Jan Mulder, Mathias Uhlén, Tomas J Ekström, Muriel T Davisson, Tomas G M Hökfelt, Martin Schalling, Jeanette E Johansen",Hypothalamic mitochondrial dysfunction associated with anorexia in the anx/anx mouse.,P Natl Acad Sci U S A,108,44,18108-18113,2011,no,9.681,22025706
National,Affinity proteomics,Fluorescence Tissue Profiling (KI),"Tie-Jun Sten Shi, Qiong Xiang, Ming-Dong Zhang, Giuseppe Tortoriello, Henrik Hammarberg, Jan Mulder, Kaj Fried, Ludwig Wagner, Anna Josephson, Mathias Uhlén, Tibor Harkany, Tomas Hökfelt ","Secretagogin is expressed in sensory CGRP neurons and in spinal cord of mouse and complements other calcium-binding proteins, with a note on rat and human",Mol Pain,8,10,,2012,no,3.774,23102406
National,Affinity proteomics,Fluorescence Tissue Profiling (KI),"Jan Mulder, Tomas Hökfelt, Mark M Knuepfer, Ulla C Kopp ",Renal sensory and sympathetic nerves reinnervate the kidney in a similar time-dependent fashion after renal denervation in rats.,"American journal of physiology Regulatory, integrative and comparative physiology",304,8,R675-R682,2013,no,3.529,23408032
National,Affinity proteomics,Fluorescence Tissue Profiling (KI),"Erik Samén, Li Lu, Jan Mulder, Jan-Olov Thorell, Peter Damberg, Tetyana Tegnebratt, Lars Holmgren, Helene Rundqvist, Sharon Stone-Elander",Visualization of angiogenesis during cancer development in the polyoma middle T breast cancer model: molecular imaging with (R)-[11C]PAQ,EJNMMI research,4,,1.-3,2014,no,N/A,24670127
National,Affinity proteomics,Fluorescence Tissue Profiling (KI),"Tetyana Tegnebratt1*, Elisabeth Ruge2, Sabine Bader2, Nobuya Ishii3, Satoshi Aida3, Yasushi Yoshimura3, Chia-Huey Ooi2, Li Lu1, Nicholas Mitsios5, Valerie Meresse4, Jan Mulder5, Michael Pawlak6, Miro Venturi2, Jean Tessier4 and Sharon Stone-Elander1","Evaluation of efficacy of a new MEK inhibitor, RO4987655, in human tumor xenografts by [18F]FDG-PET imaging combined with proteomic approaches ",EJNMMI research,accepted,,,2014,yes (Roche),N/A,
National,Affinity proteomics,Fluorescence Tissue Profiling (KI),"Roman A Romanov, Alán Alpár, Ming-Dong Zhang, Amit Zeisel, André Calas, Marc Landry,Matthew Fuszard, Sally L Shirran, Robert Schnell1, Árpád Dobolyi, Márk Oláh, Lauren Spence,Jan Mulder, Henrik Martens, Miklós Palkovits, Mathias Uhlen, Harald H Sitte,Catherine H Botting, Ludwig Wagner, Sten Linnarsson, Tomas Hökfelt & Tibor Harkany",A secretagogin locus of the mammalian hypothalamus controls stress hormone release,EMBO J,accepted,,,2014,no,10.748,25430741
National,Affinity proteomics,Fluorescence Tissue Profiling (KI),"Sanna Byström, Burcu Ayoglu, Anna Häggmark, Nicholas Mitsios, Mun-Gwan Hong, Kimi Drobin, Björn Forsström, Claudia Fredolini, Mohsen Khademi, Sandra Amor, Mathias Uhlén, Tomas Olsson, Jan Mulder, Peter Nilsson, Jochen M Schwenk","Affinity Proteomic Profiling of Plasma, Cerebrospinal Fluid, and Brain Tissue within Multiple Sclerosis",J Proteome Res,,,,2014,no,5.001,25231264
National,Affinity proteomics,Fluorescence Tissue Profiling (KI),"Ming-Dong Zhang, Giuseppe Tortoriello, Brian Hsueh, Raju Tomer, Li Ye, Nicholas Mitsios, Lotta Borgius, Gunnar Grant, Ole Kiehn, Masahiko Watanabe, Mathias Uhlén, Jan Mulder, Karl Deisseroth, Tibor Harkany, Tomas G M Hökfelt",Neuronal calcium-binding proteins 1/2 localize to dorsal root ganglia and excitatory spinal neurons and are regulated by nerve injury,P Natl Acad Sci USA,111,12,E1149-E1158,2014,no,9.809,24616509
National,Affinity proteomics,PLA Proteomics,"M. Kamali-Moghaddam, F. Ekholm Pettersson, D. Wu, H. Englund, S. Darmanis, A. Lord, G. Tavoosidana, D. Sehlin, S. Gustafsdottir, L. N. G. Nilsson, L. Lannfelt and U. Landegren",Sensitive Detection of Ab protofibrils by proximity ligation – relevance for Alzheimer’s disease,BMC Neuroscience,11,,doi: 10.1186/1471-2202-11-124,2010,,3.091,
National,Affinity proteomics,PLA Proteomics,"Blokzijl A, Friedman M, Pontén F, Landegren U.",Profiling protein expression and interactions: proximity ligation as a tool for personalized medicine.,J Intern Med,268,3,232-45,2010,,5.935,20695973
National,Affinity proteomics,PLA Proteomics,"S. Darmanis, R.Y. Nong, M. Hammond, J. Gu, A. Alderborn, J. Vänelid, A. Siegbahn, S. Gustafsdottir, O. Ericsson, U. Landegren, and M. Kamali-Moghaddam",Sensitive plasma protein analysis by microparticle-based proximity ligation assays,Mol Cell Proteomics,9,2,327-35,2010,,8.354,19955079
National,Affinity proteomics,PLA Proteomics,"Liu Y, Gu J, Hagner-McWhirter Å, Sathiyanarayanan P, Gullberg M, Söderberg O, Johansson J, Hammond M, Ivansson D, Landegren U.",Western blotting via proximity ligation for high performance protein analysis.,Mol Cell Proteomics,10,11,O111.011031,2011,,7.398,21813417
National,Affinity proteomics,PLA Proteomics,"Clausson CM, Allalou A, Weibrecht I, Mahmoudi S, Farnebo M, Landegren U, Wählby C, Söderberg O.",Increasing the dynamic range of in situ PLA.,Nat Methods,8,11,892-3,2011,,19.276,22036742
National,Affinity proteomics,PLA Proteomics,"G. Tavoosidana, G. Ronquist¸ S. Darmanis, Yan J, L. Carlsson, D. Wu, T. Conze, P. Ek, A. Semjonow, A. Larsson, U. Landegren and M. Kamali-Moghaddam",A Multiple Recognition Assay Reveals Prostasomes as Promising Plasma Biomarkers for Prostate Cancer,P Natl Acad Sci USA,108,21,8809-14,2011,,9.681,
National,Affinity proteomics,PLA Proteomics,"S. Darmanis, R. Y. Nong, J. Vänelid, A. Siegbahn, O. Ericsson, S. Fredriksson, C. Bäcklin, M. Gut, S. Heath, I. G.Gut, L. Wallentin, M. G. Gustafsson, M. Kamali-Moghaddam and U. Landegren",ProteinSeq: high-performance protein biomarker analysis via proximity ligation with next generation sequencing in cardiovascular disease,PLoS one,6,9,e25583,2011,,4.092,
National,Affinity proteomics,PLA Proteomics,"Y. Teranishi, J-Y. Hur, G. J. Gu, T. Kihara, T. Ishikawa, T Nishimura, B. Winblad, H. Behbahani, M. Kamali-Moghaddam, S. Frykman, L. O. Tjernberg",Erlin-2 is associated with active γ-secretase in brain and affects amyloid β-peptide production,Biochem Bioph Res Co,424,3,476-81,2012,,2.406,
National,Affinity proteomics,PLA Proteomics,"Darmanis S, Gallant C, Landegren U",PCR-based multiparametric assays in single cells.,Clin Chem,58,12,1618-9,2012,,7.149,23071363
National,Affinity proteomics,PLA Proteomics,"Zieba A, Pardali K, Söderberg O, Lindbom L, Nyström E, Moustakas A, Heldin CH, Landegren U",Intercellular variation in signaling through the TGF-β pathway and its relation to cell density and cell cycle phase.,Mol Cell Proteomics,11,7,M111.013482,2012,,7.251,22442258
National,Affinity proteomics,PLA Proteomics,"Zieba A, Grannas K, Söderberg O, Gullberg M, Nilsson M, Landegren U",Molecular tools for companion diagnostics.,New Biotechnol,29,6,634-40,2012,,1.706,22634023
National,Affinity proteomics,PLA Proteomics,"Weibrecht I, Gavrilovic M, Lindbom L, Landegren U, Wählby C, Söderberg O.",Visualising individual sequence-specific protein-DNA interactions in situ.,New Biotechnol,29,5,589-98,2012,,1.706,21906700
National,Affinity proteomics,PLA Proteomics,"Hammond M, Nong RY, Ericsson O, Pardali K, Landegren U",Profiling cellular protein complexes by proximity ligation with dual tag microarray readout.,PLoS One,7,7,e40405,2012,,3.73,22808155
National,Affinity proteomics,PLA Proteomics,"G.J. Gu, D. Wu, H. Lund, D. Sunnemark, A. Kvist, R. Milner, S. Eckersley, L Nilsson, K. Agerman, U. Landegren and M. Kamali‐Moghaddam","Elevated MARK2–dependent phosphorylation of tau in Alzheimer’s disease, analyzed via proximity ligation",J Alzheimers Dis,33,3,699-713,2013,,3.612,
National,Affinity proteomics,PLA Proteomics,"J. Yan, D. Horák, J. Lenfeld, M. Hammond, M. Kamali-Moghaddam",A tosyl-activated magnetic bead cellulose as solid support for sensitive protein detection,J Biotechnol,167,3,235-24,2013,,2.884,23811391
National,Affinity proteomics,PLA Proteomics,"Leuchowius KJ, Clausson CM, Grannas K, Erbilgin Y, Botling J, Zieba A, Landegren U, Söderberg O",Parallel visualization of multiple protein complexes in individual cells in tumor tissue.,Mol Cell Proteomics,12,6,1563-71,2013,,7.254,23436906
National,Affinity proteomics,PLA Proteomics,"R.Y. Nong, D. Wu, J. Yan, M. Hammond, G.J. Gu, M. Kamali-Moghaddam, U. Landegren, S. Darmanis",Solid-phase proximity ligation assays for individual or parallel protein analyses with readout via real-time PCR or sequencing,Nat Protoc,8,6,1234-48.,2013,,7.782,
National,Affinity proteomics,PLA Proteomics,"G. J. Gu, H. Lund, D. Wu, A. Blokzijl, C. Classon, G. von Euler, U. Landegren, D. Sunnemark, M. Kamali-Moghaddam",Role of individual MARK isoforms in phosphorylation of tau at Ser262 in Alzheimer’s disease,Neuromol Med,15,3,458-69,2013,,3.885,
National,Affinity proteomics,PLA Proteomics,"J. Gu, M. Friedman, C. Jost, K. Johnsson, M. Kamali-Moghaddam, A. Plückthun, U. Landegren and O. Söderberg",Protein tag-mediated conjugation of oligonucleotides to recombinant affinity binders for proximity ligation,New Biotechnol,30,2,144-52,2013,,2.106,22664266
National,Affinity proteomics,PLA Proteomics,"James Flanigon*, Masood Kamali-Moghaddam*, I. Burbulis, C. Annink, M. Steffen, P. Oeth, R. Brent, D. van den Boom, U. Landegren and C. Cantor",Multiplex Protein Detection with DNA Readout via Mass Spectrometry,New Biotechnol,30,2,153-8,2013,,2.106,23201185
National,Affinity proteomics,PLA Proteomics,"Klingström T, Soldatova L, Stevens R, Roos TE, Swertz MA, Müller KM, Kalaš M, Lambrix P, Taussig MJ, Litton JE, Landegren U, Bongcam-Rudloff E",Workshop on laboratory protocol standards for the Molecular Methods Database.,New Biotechnol,30,2,109-13,2013,,2.106,22687389
National,Affinity proteomics,PLA Proteomics,Landegren U,Offshoots of the ESF functional genomics programme.,New Biotechnol,30,3,296-8,2013,,2.106,23295551
National,Affinity proteomics,PLA Proteomics,"K. Fuchino, S. Bagchi, S. Cantlay, L. Sandblad, D. Wu, J. Bergman, M. Kamali-Moghaddam, K. Flärdh, N. Ausmees. ",Dynamic gradients of an intermediate filament-like cytoskeleton are recruited by a polarity landmark during apical growth,P Natl Acad Sci USA,110,21,E1889-97,2013,,9.809,23641002
National,Affinity proteomics,PLA Proteomics,"Blokzijl A, Nong R, Darmanis S, Hertz E, Landegren U, Kamali-Moghaddam M.",Protein biomarker validation via proximity ligation assays.,BBA-Proteins Proteom,1844,5,933-9,2014,,3.191,23933049
National,Affinity proteomics,PLA Proteomics,"Elfineh L, Classon C, Asplund A, Pettersson U, Kamali-Moghaddam M, Lind SB",Tyrosine phosphorylation profiling via in situ proximity ligation assay.,BMC Cancer,14,435,doi:10.1186/1471-2407-14-435,2014,No,3.319,24928687
National,Affinity proteomics,PLA Proteomics,"Eriksson O, Ramstrom M, Hornaeus K, Bergquist J, Mokhtari D, Siegbahn A",The Eph Tyrosine Kinase Receptors EphB2 and EphA2 Are Novel Proteolytic Substrates of Tissue Factor/Coagulation Factor VIIa.,J Biol Chem,pii: jbc.M114.599332,,,2014,,4.6,25281742
National,Affinity proteomics,PLA Proteomics,"Galli J, Oelrich J, Taussig MJ, Andreasson U, Ortega-Paino E, Landegren U",The Biobanking Analysis Resource Catalogue (BARCdb): a new research tool for the analysis of biobank samples.,Nucleic Acids Res,Epub ahead of print,,,2014,,8.808,25336620
National,Affinity proteomics,PLA Proteomics,"J. Yan, G.J. Gu, C. Jost, M. Hammond, A. Plückthun, U. Landegren and M. Kamali-Moghaddam",A universal approach to prepare reagents for DNA-assisted protein analysis,PLoS One,9(9):e108061,,doi: 10.1371/journal.pone.0108061,2014,,3.534,25233463
National,Affinity proteomics,PLA Proteomics,"M. Hammond, J.P. Deslys, L. Wik, E. Commoy, T. Linné, U. Landegren, and M. Kamali-Moghaddam. ",Sensitive detection of aggregated prion protein by proximity ligation assay,Prion,8,3,PMID: 25247842 ,2014,,1.967,
National,Affinity proteomics,Protein and peptide arrays (KTH),"Jochen M Schwenk, Ulrika Qundos, Maja Neiman, Hanno Langen, Charlotte Becker, Anders Bjartell, Fredrik Ponten, Fredrik Wiklund, Henrik Grönberg, Peter Nilsson, and Mathias Uhlén",Toward next generation plasma profiling via heat-induced epitope retrieval and array-based assays.,Mol Cell Proteomics,9,11,2497-2057,2010,no,8.354,20682762
National,Affinity proteomics,Protein and peptide arrays (KTH),"Uhlen M, Oksvold P, Fagerberg L, Lundberg E, Jonasson K, Forsberg M, Zwahlen M, Kampf C, Wester K, Hober S, Wernerus H, Björling L, Ponten F.",Towards a knowledge-based Human Protein Atlas.,Nat Biotechnol,28,12,1240-50,2010,no,31.09,21139605
National,Affinity proteomics,Protein and peptide arrays (KTH),"Jochen M Schwenk, Ulrika Qundos, Bernet S Kato, George Nicholson, Fredrik Karpe, Mathias Uhlén, and Peter Nilsson",Comparative protein profiling of serum and plasma using an antibody suspension bead array approach.,Proteomics,10,3,532-540,2010,no,4.815,19953555
National,Affinity proteomics,Protein and peptide arrays (KTH),"Burcu Ayoglu, Anna Häggmark, Maja Neiman, Ulrika Qundos, Mathias Uhlén, Jochen M Schwenk, and Peter Nilsson",Systematic antibody and antigen-based proteomic profiling with microarrays.,Expert Rev Mol Diagn,11,2,219-234,2011,no,4.859,21405972
National,Affinity proteomics,Protein and peptide arrays (KTH),"Jesper Gantelius, Tarek Bass, Ronald Sjöberg, Peter Nilsson, and Helene Andersson-Svahn",A lateral flow protein microarray for rapid and sensitive antibody assays,Int J Mol Sci,12,11,7748-7759,2011,no,2.598,22174629
National,Affinity proteomics,Protein and peptide arrays (KTH),"Barbara Hjelm, Björn Forsström, Ulrika Qundos, Henrik Johannesson, Charlotte Stadler, Emma Lundberg, Fredrik Ponten, Anna Sjoberg, Johan Rockberg, Jochen M Schwenk, Peter Nilsson, Christine Johansson, and Mathias Uhlén",Generation of monospecific antibodies based on affinity capture of polyclonal antibodies.,Protein Sci,20,11,1824-1835,2011,no,2.798,
National,Affinity proteomics,Protein and peptide arrays (KTH),"Ronald Sjöberg, Lennart Hammarström, Peter Nilsson ",Biosensor Based Protein Profiling on Reverse Phase Serum Microarray,J Proteomics & Bioinformatics,5,8,185-189,2012,no,N/A,
