pmid,doi,label,qualifier
,10.1038/ismej.2016.184,NGI Uppsala (Uppsala Genome Center),Service
,10.1038/ejhg.2017.54,NGI Uppsala (Uppsala Genome Center),Service
28725665,10.1016/j.dib.2017.06.031,NGI Stockholm (Genomics Applications),Service
28388445,10.1016/j.molimm.2017.03.012,NGI Stockholm (Genomics Applications),Service
28634240,10.1128/mBio.00857-17,NGI Stockholm (Genomics Applications),Service
28450237,10.1016/j.xphs.2017.04.018,NGI Uppsala (Uppsala Genome Center),Service
,10.1534/genetics.116.198861,NGI Uppsala (SNP&SEQ Technology Platform),Service
27997700,10.1111/nyas.13295,NGI Uppsala (Uppsala Genome Center),Service
29062876,10.1016/j.dib.2017.09.043,NGI Uppsala (Uppsala Genome Center),Service
28923509,10.1016/j.virusres.2017.09.012,NGI Uppsala (Uppsala Genome Center),Service
27771467,10.1016/j.fsigen.2016.10.008,NGI Uppsala (SNP&SEQ Technology Platform),Service
27913414,10.1128/AEM.02533-16,NGI Uppsala (SNP&SEQ Technology Platform),Service
27899403,10.1161/CIRCRESAHA.116.308765,NGI Uppsala (SNP&SEQ Technology Platform),Service
28186632,10.1111/nph.14458,NGI Stockholm (Genomics Applications),Service
28385844,10.1128/genomeA.00125-17,NGI Stockholm (Genomics Applications),Service
28391318,10.1093/gbe/evx029,NGI Uppsala (Uppsala Genome Center),Service
,10.1016/j.aquaculture.2017.03.024,NGI Stockholm (Genomics Applications),Service
28928718,10.3389/fmicb.2017.01561,NGI Stockholm (Genomics Applications),Service
29070809,10.1038/s41467-017-00999-2,NGI Stockholm (Genomics Applications),Service
26713841,10.3109/19401736.2015.1122768,NGI Stockholm (Genomics Applications),Service
28837655,10.1371/journal.pgen.1006976,NGI Uppsala (SNP&SEQ Technology Platform),Service
28098162,10.1038/ncomms13624,NGI Uppsala (SNP&SEQ Technology Platform),Service
28723901,10.1371/journal.pntd.0005710,NGI Stockholm (Genomics Applications),Service
28213390,10.1161/CIRCGENETICS.116.001487,NGI Uppsala (SNP&SEQ Technology Platform),Service
28884802,10.1002/ajpa.23308,NGI Stockholm (Genomics Applications),Service
,10.1101/gr.212522.116,NGI Uppsala (SNP&SEQ Technology Platform),Service
28855268,10.1530/EJE-17-0277,NGI Stockholm (Genomics Applications),Service
27913302,10.1016/j.jaci.2016.09.050,NGI Stockholm (Genomics Applications),Service
,10.1071/rdv29n1ab124,NGI Uppsala (SNP&SEQ Technology Platform),Service
28053322,10.1038/gene.2016.49,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1093/hmg/ddx017,NGI Uppsala (Uppsala Genome Center),Collaborative
28084650,10.1002/jbmr.3083,NGI Stockholm (Genomics Applications),Service
28073764,10.1093/aje/kww120,NGI Uppsala (SNP&SEQ Technology Platform),Service
28481330,10.1038/nplants.2017.61,NGI Stockholm (Genomics Applications),Service
28369058,10.1371/journal.pgen.1006706,NGI Uppsala (SNP&SEQ Technology Platform),Service
27815194,10.1016/j.ymben.2016.10.010,NGI Stockholm (Genomics Applications),Service
28284638,10.1016/j.scitotenv.2017.01.213,NGI Stockholm (Genomics Applications),Service
,10.7554/elife.23907,NGI Uppsala (SNP&SEQ Technology Platform),Service
28957460,10.1093/gbe/evx169,NGI Stockholm (Genomics Applications),Service
,10.1038/gt.2016.80,NGI Uppsala (Uppsala Genome Center),Service
,10.1158/1078-0432.ccr-17-0285,NGI Uppsala (Uppsala Genome Center),Service
27838757,10.1007/s00204-016-1879-4,NGI Stockholm (Genomics Applications),Service
28535255,10.1093/hmg/ddx194,NGI Uppsala (SNP&SEQ Technology Platform),Service
28322575,10.2217/epi-2016-0158,NGI Uppsala (SNP&SEQ Technology Platform),Service
28781756,10.12688/f1000research.11168.2,NGI Stockholm (Genomics Applications),Service
28839234,10.1038/s41598-017-10175-7,NGI Stockholm (Genomics Applications),Service
28739902,10.1073/pnas.1706011114,NGI Stockholm (Genomics Applications),Service
,10.1098/rspb.2016.2756,NGI Uppsala (SNP&SEQ Technology Platform),Service
28634180,10.1530/ERC-17-0196,NGI Stockholm (Genomics Applications),Service
28261182,10.3389/fmicb.2017.00226,NGI Stockholm (Genomics Applications),Service
27886618,10.1016/j.ijcard.2016.11.066,NGI Stockholm (Genomics Applications),Service
,10.1093/femsle/fnx139,NGI Uppsala (SNP&SEQ Technology Platform),Service
27871136,10.1111/1462-2920.13593,NGI Uppsala (SNP&SEQ Technology Platform),Service
28094813,10.1038/tp.2016.275,NGI Uppsala (SNP&SEQ Technology Platform),Service
27943270,10.1111/cge.12890,NGI Uppsala (SNP&SEQ Technology Platform),Service
27918534,10.1038/ng.3738,NGI Uppsala (SNP&SEQ Technology Platform),Service
28481333,10.1038/nmicrobiol.2017.68,NGI Stockholm (Genomics Applications),Service
27871145,10.1111/1462-2920.13592,NGI Stockholm (Genomics Applications),Service
28860667,10.1038/s41598-017-10928-4,NGI Uppsala (SNP&SEQ Technology Platform),Service
28793929,10.1186/s40168-017-0311-5,NGI Stockholm (Genomics Applications),Service
28978732,10.1098/rspb.2017.1617,NGI Stockholm (Genomics Applications),Service
28577026,10.1007/s10532-017-9796-7,NGI Stockholm (Genomics Applications),Service
27848077,10.1007/s00439-016-1743-x,NGI Stockholm (Genomics Applications),Service
,10.1186/s13059-017-1231-1,NGI Uppsala (SNP&SEQ Technology Platform),Service
28207771,10.1371/journal.pone.0171566,NGI Stockholm (Genomics Applications),Service
27485664,10.1111/nmo.12923,NGI Uppsala (SNP&SEQ Technology Platform),Service
28295209,10.1111/cge.13012,NGI Uppsala (Uppsala Genome Center),Service
28465822,10.1186/s13293-017-0134-x,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1128/genomea.00172-17,NGI Uppsala (Uppsala Genome Center),Service
,10.1186/s40694-017-0032-3,NGI Uppsala (Uppsala Genome Center),Service
27786413,10.1002/pbc.26251,NGI Uppsala (SNP&SEQ Technology Platform),Technology development
27901589,10.1210/en.2016-1758,NGI Stockholm (Genomics Applications),Service
,10.1186/s13040-017-0150-8,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1111/imb.12271,NGI Uppsala (SNP&SEQ Technology Platform),Service
29021611,10.1038/s41598-017-13462-5,NGI Stockholm (Genomics Applications),Service
28205325,10.1002/mnfr.201600874,NGI Stockholm (Genomics Applications),Service
28871175,10.1038/s41598-017-10876-z,NGI Uppsala (Uppsala Genome Center),Service
28832569,10.1038/ejhg.2017.130,NGI Stockholm (Genomics Applications),Service
,10.1038/s41598-017-06516-1,NGI Uppsala (SNP&SEQ Technology Platform),Service
28915241,10.1371/journal.pgen.1007005,NGI Uppsala (SNP&SEQ Technology Platform),Service
,10.1080/01490451.2016.1225868,NGI Stockholm (Genomics Applications),Service
28209125,10.1186/s12864-017-3550-8,NGI Stockholm (Genomics Applications),Service
