Reg. No.,1. Name of national platform,2. Name of facility,3. Authors,4. Title of publication,5. Journal,6. Volume,7. Issue,8. Pages y-x,9. Year of publication,10. Journal Impact factor 2014,Registered by,Created,Last update
176,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),"A. Wennman,A. Magnuson,M. Hamberg,E. H. Oliw",Manganese lipoxygenase of F. oxysporum and the structural basis for biosynthesis of distinct 11-hydroperoxy stereoisomers,J Lipid Res,56,8,1606-15,2015,4.421,Inger.jonasson@igp.uu.se,14/01/2016,,26113537
25,Regional,Bioinformatics and Expression Analysis (BEA),"Acevedo N, Reinius LE, Vitezic M, Fortino V, Söderhäll C, Honkanen H, Veijola R, Simell O, Toppari J, Ilonen J, Knip 
M, Scheynius A, Hyöty H, Greco D, Kere J.
","Age-associated DNA methylation changes in immune genes, histone modifiers and chromatin remodeling factors within 5 years after birth in human blood leukocytes.",Clin Epigenetics,7,1,34. doi: 10.1186,2015,4.5,fredrik.fagerstrom-billai@ki.se,29/12/2015,,25874017
107,Regional,Mutation Analysis Facility (MAF),"Acevedo, N.
Reinius, L. E.
Greco, D.
Gref, A.
Orsmark-Pietras, C.
Persson, H.
Pershagen, G.
Hedlin, G.
Melen, E.
Scheynius, A.
Kere, J.
Soderhall, C.","Risk of childhood asthma is associated with CpG-site polymorphisms, regional DNA methylation and mRNA levels at the GSDMB/ORMDL3 locus",Hum Mol Genet,24,3,875-90,2015,6.393,kristina.duvefelt@ki.se,13/01/2016,13/01/2016,25256354
315,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),"Afset JE, Larssen KW, Bergh K, Larkeryd A, Sjodin A, Johansson A, Forsman M","Phylogeographical pattern of Francisella tularensis in a nationwide outbreak of tularaemia in Norway, 2011",Euro Surveill,20,19,42627,2015,5.722,mathias.brannvall@medsci.uu.se,15/01/2016,,[0]
68,Structural Biology,Protein Science Facility,"Ahmad S, Thulasingam M, Palombo I, Daley DO, Johnson KA, Morgenstern R, Haeggström JZ, Rinaldo-Matthis A.
",Trimeric microsomal glutathione transferase 2 displays one third of the sites reactivity.,Biochim. Biophys.,1854,10,1365,2015,4.66,helena.berglund@ki.se,08/01/2016,,[0]
86,Regional,Advanced Mass Spectrometry Proteomics,"Alexey Chernobrovkin, Consuelo Marin-Vicente, Neus Visa & Roman A. Zubarev",Functional Identification of Target by Expression Proteomics (FITExP) reveals protein targets and highlights mechanisms of action of small molecule drugs,Scientific Reports,5,-,11176,2015,5.578,alexey.chernobrovkin@ki.se,11/01/2016,,26052917
28,Bioinformatics,Bioinformatics Short-term Support and Infrastructure (BILS),"Alexeyenko, A., Alkasalias, T., Pavlova, T., Szekely, L., Kashuba, V., Rundqvist, H., Wiklund, P., Egevad, L., Csermely, P., Korcsmaros, T., Guven, H., Klein, G.",Confrontation of fibroblasts with cancer cells in vitro: gene network analysis of transcriptome changes and differential capacity to inhibit tumor growth,J. Exp. Clin. Cancer Res.,34,N/A,62,2015,4.429,mikael.borg@bils.se,29/12/2015,,26081588
324,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),"Almén MS, Lamichhaney S, Berglund J, Grant BR, Grant PR, Webster MT, Andersson L",Adaptive radiation of Darwin's finches revisited using whole genome sequencing,BioEssays,38,1,14-20,2016,4.73,mathias.brannvall@medsci.uu.se,15/01/2016,,26606649
358,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),"Andreou D, Söderman E, Axelsson T, Sedvall GC, Terenius L, Agartz I, Jönsson EG",Cerebrospinal fluid monoamine metabolite concentrations as intermediate phenotypes between glutamate-related genes and psychosis,Psychiatry Res,229,1–2,497-504,2015,2.467,mathias.brannvall@medsci.uu.se,15/01/2016,,26142836
633,Clinical Diagnostics,Clinical Genomics,"Anna Hammarsjö, Ann Nordgren, Kristina Lagerstedt-Robinson, Helena Malmgren, Daniel Nilsson, Sara Wedrén, Magnus Nordenskjöld, Gen Nishimura, Giedre Grigelioniene",Pathogenenic variant in the COL2A1 gene is associated with Spondyloepiphyseal dysplasia type Stanescu,Am J Med Genet,170,1,266-269,2015,2.159,valtteri.wirta@scilifelab.se,15/01/2016,,26420734
19,Regional,Bioinformatics and Expression Analysis (BEA),"Arner P, Sinha I, Thorell A, Rydén M, Dahlman-Wright K, Dahlman I.",The epigenetic signature of subcutaneous fat cells is linked to altered expression of genes implicated in lipid metabolism in obese women.,Clin Epigenetics.,7,1,93,2015,4.5,fredrik.fagerstrom-billai@ki.se,29/12/2015,,26351548
331,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),"Arpegård J, Viktorin A, Chang Z, de Faire U, Magnusson PKE, Svensson P",Comparison of Heritability of Cystatin C? and Creatinine?Based Estimates of Kidney Function and Their Relation to Heritability of Cardiovascular Disease,J Am Heart Assoc,4,1,e001467,2015,4.306,mathias.brannvall@medsci.uu.se,15/01/2016,,[0]
265,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),"Artigas MS, Wain LV, Miller S, Kheirallah AK, Huffman JE, Ntalla I, Shrine N, Obeidat Me, Trochet H, McArdle WL, Alves AC, Hui J, Zhao JH, Joshi PK, Teumer A, Albrecht E, Imboden M, Rawal R, Lopez LM, Marten J, Enroth S, Surakka I, Polasek O, Lyytikainen L-P, Granell R, Hysi PG, Flexeder C, Mahajan A, Beilby J, Bosse Y, Brandsma C-A, Campbell H, Gieger C, Glaser S, Gonzalez JR, Grallert H, Hammond CJ, Harris SE, Hartikainen A-L, Heliovaara M, Henderson J, Hocking L, Horikoshi M, Hutri-Kahonen N, Ingelsson E, Johansson A, Kemp JP, Kolcic I, Kumar A, Lind L, Melen E, Musk AW, Navarro P, Nickle DC, Padmanabhan S, Raitakari OT, Ried JS, Ripatti S, Schulz H, Scott RA, Sin DD, Starr JM, BiLEVE UK, Vinuela A, Volzke H, Wild SH, Wright AF, Zemunik T, Jarvis DL, Spector TD, Evans DM, Lehtimaki T, Vitart V, Kahonen M, Gyllensten U, Rudan I, Deary IJ, Karrasch S, Probst-Hensch NM, Heinrich J, Stubbe B, Wilson JF, Wareham NJ, James AL, Morris AP, Jarvelin M-R, Hayward C, Sayers I, Strachan DP, Hall IP, Tobin MD",Sixteen new lung function signals identified through 1000 Genomes Project reference panel imputation,Nat Commun,6,,8658,2015,11.47,mathias.brannvall@medsci.uu.se,15/01/2016,,26635082
238,Functional Genomics,Karolinska High Throughput Center (KHTC),"Arttu Jolma, Yimeng Yin, Kazuhiro R. Nitta, Kashyap Dave, Alexander Popov, Minna Taipale, Martin Enge, Teemu Kivioja, Ekaterina Morgunova 
and Jussi Taipale
",DNA-dependent formation of transcription factor pairs alters their binding specificity.,Nature,527,7578,384-388,2015,41.46,anders.eriksson@ki.se,15/01/2016,,26550823
102,Bioinformatics,Bioinformatics Long-term Support WABI,"Avican K, Fahlgren A, Huss M, Heroven AK, Beckstette M, Dersch P, Fällman M.",Reprogramming of Yersinia from Virulent to Persistent Mode Revealed by Complex In Vivo RNA-seq Analysis.,PLoS Pathog.,11,1,e1004600,2015,7.5,thomas.svensson@scilifelab.se,13/01/2016,,[0]
133,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),"B. Alvarez,K. Krogh-Andersen,C. Tellgren-Roth,N. Martinez,G. Gunaydin,Y. Lin,M. C. Martin,M. A. Alvarez,L. Hammarstrom,H. Marcotte",An Exopolysaccharide-Deficient Mutant of Lactobacillus rhamnosus GG Efficiently Displays a Protective Llama Antibody Fragment against Rotavirus on Its Surface,Appl Environ Microbiol,81,17,5784-93,2015,3.668,Inger.jonasson@igp.uu.se,14/01/2016,,26092449
181,Functional Genomics,Microbial Single Cell Genomics,"Baker, B.J., Saw, J.H., Lind, A.E., Lazar, C.S., Hinrichs, K.-U., Teske, A., & Ettema, T.J.G","Genomic inference of the metabolism of Hadesarchaea, cosmopolitan Archaea of the subsurface biosphere",Nature Microbiol.,-,-,-,2015,,thijs.ettema@icm.uu.se,14/01/2016,,[0]
339,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),"Bandstein M, Schultes B, Ernst B, Thurnheer M, Schiöth H, Benedict C",The Role of FTO and Vitamin D for the Weight Loss Effect of Roux-en-Y Gastric Bypass Surgery in Obese Patients,OBES SURG,25,11,2071-2077,2015,3.747,mathias.brannvall@medsci.uu.se,15/01/2016,,25724814
393,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),"Baranowska Körberg I, Hofmeister W, Markljung E, Cao J, Nilsson D, Ludwig M, Draaken M, Holmdahl G, Barker G, ..., Nordenskjöld A",WNT3 involvement in human bladder exstrophy and cloaca development in zebrafish.,Human Molecular Genetics,24,18,5069-5078,2015,6.393,per.kraulis@scilifelab.se,15/01/2016,,26105184
559,National Genomics Infrastructure,NGI Stockholm (Genomics Production),"Baranowska Körberg I, Hofmeister W, Markljung E, Cao J, Nilsson D, Ludwig M, Draaken M, Holmdahl G, Barker G, ..., Nordenskjöld A",WNT3 involvement in human bladder exstrophy and cloaca development in zebrafish.,Human Molecular Genetics,24,18,5069-5078,2015,6.393,per.kraulis@scilifelab.se,15/01/2016,,26105184
411,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),"Bengtsson-Palme J, Angelin M, Huss M, Kjellqvist S, Kristiansson E, Palmgren H, Larsson DG, Johansson A",The Human Gut Microbiome as a Transporter of Antibiotic Resistance Genes between Continents.,Antimicrobial Agents And Chemotherapy,59,10,6551-6560,2015,4.476,per.kraulis@scilifelab.se,15/01/2016,,26259788
577,National Genomics Infrastructure,NGI Stockholm (Genomics Production),"Bengtsson-Palme J, Angelin M, Huss M, Kjellqvist S, Kristiansson E, Palmgren H, Larsson DG, Johansson A",The Human Gut Microbiome as a Transporter of Antibiotic Resistance Genes between Continents.,Antimicrobial Agents And Chemotherapy,59,10,6551-6560,2015,4.476,per.kraulis@scilifelab.se,15/01/2016,,26259788
96,Bioinformatics,Bioinformatics Long-term Support WABI,"Bengtsson-Palme J, Angelin M, Huss M, Kjellqvist S, Kristiansson E, Palmgren H, Larsson DG, Johansson A.",The human gut microbiome as a transporter of antibiotic resistance genes between continents.,Antimicrob Agents Ch,59,10,6551-6560,2015,4.5,thomas.svensson@scilifelab.se,13/01/2016,,26259788
461,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),"Bennet H, Balhuizen A, Medina A, Dekker Nitert M, Ottosson Laakso E, Essén S, Spégel P, Storm P, Krus U, ..., Fex M",Altered serotonin (5-HT) 1D and 2A receptor expression may contribute to defective insulin and glucagon secretion in human type 2 diabetes.,Peptides,71,-,113-120,2015,2.618,per.kraulis@scilifelab.se,15/01/2016,,26206285
544,National Genomics Infrastructure,NGI Stockholm (Genomics Production),"Bennet H, Balhuizen A, Medina A, Dekker Nitert M, Ottosson Laakso E, Essén S, Spégel P, Storm P, Krus U, ..., Fex M",Altered serotonin (5-HT) 1D and 2A receptor expression may contribute to defective insulin and glucagon secretion in human type 2 diabetes.,Peptides,71,-,113-120,2015,2.618,per.kraulis@scilifelab.se,15/01/2016,,26206285
252,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),"Bentham J, Morris DL, Cunninghame Graham DS, Pinder CL, Tombleson P, Behrens TW, Martin J, Fairfax BP, Knight JC, Chen L, Replogle J, Syvanen A-C, Ronnblom L, Graham RR, Wither JE, Rioux JD, Alarcon-Riquelme ME, Vyse TJ",Genetic association analyses implicate aberrant regulation of innate and adaptive immunity genes in the pathogenesis of systemic lupus erythematosus,Nat Genet,47,12,1457-1464,2015,29.352,mathias.brannvall@medsci.uu.se,15/01/2016,,26502338
302,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),"Berggren O, Alexsson A, Morris DL, Tandre K, Weber G, Vyse TJ, Syvänen A-C, Rönnblom L, Eloranta M-L",IFN-? production by plasmacytoid dendritic cell associations with polymorphisms in gene loci related to autoimmune and inflammatory diseases,Hum Mol Genet,24,12,3571-3581,2015,6.393,mathias.brannvall@medsci.uu.se,15/01/2016,,25779693
101,Bioinformatics,Bioinformatics Long-term Support WABI,"Bersani C, Huss M, Giacomello S, Xu L-D, Bianchi J, Eriksson S, Jerhammar F, Alexeyenko A, Vilborg A, Lundeberg J, Lui W-O, Wiman KG.",Genome-wide identification of Wig-1 mRNA targets by RIP-Seq analysis.,Oncotarget,10,-,18632,2015,6.5,thomas.svensson@scilifelab.se,13/01/2016,,26672765
516,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),"Bersani C, Huss M, Giacomello S, Xu LD, Bianchi J, Eriksson S, Jerhammar F, Alexeyenko A, Vilborg A, Lundeberg J, Lui WO, Wiman KG.",Genome-wide identification of Wig-1 mRNA targets by RIP-Seq analysis.,Oncotarget,-,-,-,2015,6.359,per.kraulis@scilifelab.se,15/01/2016,,26672765
599,National Genomics Infrastructure,NGI Stockholm (Genomics Production),"Bersani C, Huss M, Giacomello S, Xu LD, Bianchi J, Eriksson S, Jerhammar F, Alexeyenko A, Vilborg A, Lundeberg J, Lui WO, Wiman KG.",Genome-wide identification of Wig-1 mRNA targets by RIP-Seq analysis.,Oncotarget,-,-,-,2015,6.359,per.kraulis@scilifelab.se,15/01/2016,,26672765
29,Bioinformatics,Bioinformatics Short-term Support and Infrastructure (BILS),"Bersani, C., Huss, M., Giacomello, S., Xu, L. D., Bianchi, J., Eriksson, S., Jerhammar, F., Alexeyenko, A., Vilborg, A., Lundeberg, J., Lui, W. O., Wiman, K. G.",Genome-wide identification of Wig-1 mRNA targets by RIP-Seq analysis,Oncotarget,N/A,N/A,,2015,6.359,mikael.borg@bils.se,29/12/2015,,26672765
629,Regional,Array and Analysis Facility,"Birgisson H, Edlund K, Wallin U, Påhlman L, Kultima HG, Mayrhofer M, Micke P, Isaksson A, Botling J, Glimelius B, Sundström M.",Microsatellite instability and mutations in BRAF and KRAS are significant predictors of disseminated disease in colon cancer.,BMC Cancer.,15,1,125,2015,3.4,anders.isaksson@medsci.uu.se,15/01/2016,,[0]
30,Bioinformatics,Bioinformatics Short-term Support and Infrastructure (BILS),"Boekel, J., Chilton, J. M., Cooke, I. R., Horvatovich, P. L., Jagtap, P. D., Kall, L., Lehtio, J., Lukasse, P., Moerland, P. D., Griffin, T. J.",Multi-omic data analysis using Galaxy,Nat. Biotechnol.,33,2,137--139,2015,41.514,mikael.borg@bils.se,29/12/2015,,25658277
108,Regional,Mutation Analysis Facility (MAF),"Bogo, R.
Farah, A.
Johnson, A. C.
Karlsson, K. K.
Pedersen, N. L.
Svartengren, M.
Skjonsberg, A.",The role of genetic factors for hearing deterioration across 20 years: a twin study,J Gerontol A Biol Sci Med Sci,70,5,647-53,2015,5.416,kristina.duvefelt@ki.se,13/01/2016,,25665831
430,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),"Borgström E, Redin D, Lundin S, Berglund E, Andersson AF, Ahmadian A",Phasing of single DNA molecules by massively parallel barcoding.,Nature Communications,6,-,7173,2015,11.47,per.kraulis@scilifelab.se,15/01/2016,,26055759
596,National Genomics Infrastructure,NGI Stockholm (Genomics Production),"Borgström E, Redin D, Lundin S, Berglund E, Andersson AF, Ahmadian A",Phasing of single DNA molecules by massively parallel barcoding.,Nature Communications,6,-,7173,2015,11.47,per.kraulis@scilifelab.se,15/01/2016,,26055759
622,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Borhade SR, Svensson R, Brandt P, Artursson P, Arvidsson PI, Sandström A.",Preclinical characterization of acyl sulfonimidamides: potential carboxylic acid bioisosteres with tunable properties.,Chem Med Chem,10,3,455-60,2015,2.968,pawel.baranczewski@farmaci.uu.se,15/01/2016,,25630705
316,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),"Bruzelius M, Bottai M, Sabater-Lleal M, Strawbridge RJ, Bergendal A, Silveira A, Sundström A, Kieler H, Hamsten A, Odeberg J",Predicting venous thrombosis in women using a combination of genetic markers and clinical risk factors,J Thromb Haemost,13,2,219-227,2015,5.72,mathias.brannvall@medsci.uu.se,15/01/2016,,25472531
322,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),"Bruzelius M, Ljungqvist M, Bottai M, Bergendal A, Strawbridge RJ, Holmström M, Silveira A, Kieler H, Hamsten A, Lärfars G, Odeberg J",F11 is associated with recurrent VTE in women. A prospective cohort study,Thromb Haemost,[Epub ahead of print],,,2015,4.984,mathias.brannvall@medsci.uu.se,15/01/2016,,26423325
258,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),"Burri R, Nater A, Kawakami T, Mugal CF, Olason PI, Smeds L, Suh A, Dutoit L, Bureš S, Garamszegi LZ, Hogner S, Moreno J, Qvarnström A, Ruži? M, Sæther S-A, Sætre G-P, Török J, Ellegren H",Linked selection and recombination rate variation drive the evolution of the genomic landscape of differentiation across the speciation continuum of Ficedula flycatchers,Genome Res,25,11,1656-1665,2015,14.63,mathias.brannvall@medsci.uu.se,15/01/2016,,26355005
98,Bioinformatics,Bioinformatics Long-term Support WABI,"Burri, R., Nater, A., Kawakami, T., Mugal, C.F., Olason, P.I., Smeds, L., Suh, A., Dutoit, L., Bureš, S., Garamszegi, L.Z., Hogner, S., Moreno, J., Qvarnström, A., Ružić , M., Sæther, S.A., Sætre, G.P., Török, J. & Ellegren, H.",Linked selection and recombination rate variation drive the evolution of the genomic landscape of differentiation across the speciation continuum of Ficedula flycatchers.,Genome Research,25,11,1656-1665,2015,14.5,thomas.svensson@scilifelab.se,13/01/2016,,26355005
217,Bioimaging,Advanced light microscopy,"C-M. Clausson, L, Arngården, O. Ishaq, A. Klaesson, M. Kühnemund, K. Grannas, B. Koos, X. Qian, P. Ranefall, T. Krzywkowski, H. Brismar, M. Nilsson, C. Wählby, O. Söderberg
",Compaction of rolling circle amplification products increases signal integrity and signal-to-noise ratio,Scientific Reports,5,-,12317,2015,5.578,brismar@kth.se,15/01/2016,,26202090
529,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),"Caesar R, Tremaroli V, Kovatcheva-Datchary P, Cani PD, Bäckhed F.",Crosstalk between Gut Microbiota and Dietary Lipids Aggravates WAT Inflammation through TLR Signaling.,Cell Metab,22,4,658-668,2015,17.565,per.kraulis@scilifelab.se,15/01/2016,,26321659
612,National Genomics Infrastructure,NGI Stockholm (Genomics Production),"Caesar R, Tremaroli V, Kovatcheva-Datchary P, Cani PD, Bäckhed F.",Crosstalk between Gut Microbiota and Dietary Lipids Aggravates WAT Inflammation through TLR Signaling.,Cell Metab,22,4,658-668,2015,17.565,per.kraulis@scilifelab.se,15/01/2016,,26321659
221,Chemical Biology Consortium Sweden,Laboratories for Chemical Biology Umeå (LCBU),"Caraballo R, Larsson M, Nilsson SK, Ericsson M, Qian W, Nguyen Tran NP, Kindahl T, Svensson R, Saar V, Artursson P, Olivecrona G, Enquist PA, Elofsson M",Structure-activity relationships for lipoprotein lipase agonists that lower plasma triglycerides in vivo,Eur J Med Chem,103,Oct 20,191-209,2015,3.45,mikael.elofsson@umu.se,15/01/2016,,26355531
620,Chemical Biology Consortium Sweden,Uppsala Drug Optimization and Pharmaceutical Profiling (UDOPP),"Caraballo R, Larsson M, Nilsson SK, Ericsson M, Qian W, Nguyen Tran NP, Kindahl T, Svensson R, Saar V, Artursson P, Olivecrona G, Enquist PA, Elofsson M.",Structure-activity relationships for lipoprotein lipase agonists that lower plasma triglycerides in vivo.,Eur J Med Chem,103,1,191-209,2015,3.447,pawel.baranczewski@farmaci.uu.se,15/01/2016,,26355531
255,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),CARDIoGRAMplusC4D Consortium,A comprehensive 1000 Genomes-based genome-wide association meta-analysis of coronary artery disease,Nat Genet,47,10,1121-1130,2015,29.352,mathias.brannvall@medsci.uu.se,15/01/2016,,26343387
366,Affinity proteomics,Biobank profiling,"Carl Hamsten, Lillemor Skattum, Lennart Truedsson, Ulrika von Döbeln, Mathias Uhlén, Jochen M Schwenk, Lennart Hammarström, Peter Nilsson, Maja Neiman",Heat differentiated complement factor profiling,Journal of Proteomics,126,August,155-162,2015,3.9,maja.neiman@scilifelab.se,15/01/2016,,26047714
64,Structural Biology,Protein Science Facility,"Carter M, Jemth AS, Hagenkort A, Page BD, Gustafsson R, Griese JJ, Gad H, Valerie NC, Desroses M, Boström J, Warpman Berglund U, Helleday T, Stenmark P.
","Crystal structure, biochemical and cellular activities demonstrate separate functions of MTH1 and MTH2.",Nat Commun,6,7871,7871,2015,11.47,helena.berglund@ki.se,08/01/2016,,26238318
89,Regional,Advanced Mass Spectrometry Proteomics,"Castiblanco GA, Rutishauser D, Ilag LL, Martignon S, Castellanos JE, Mejía W",Identification of proteins from human permanent erupted enamel,European Journal of Oral Sciences,123,-,390–395,2015,1.488,alexey.chernobrovkin@ki.se,11/01/2016,,26432388
115,Clinical Diagnostics,Clinical sequencing,"Cavelier L, Ameur A, Häggqvist S, Höijer I, Cahill N, Olsson-Strömberg U, Hermanson M",Clonal distribution of BCR-ABL1 mutations and splice isoforms by single-molecule long-read RNA sequencing.,BMC Cancer.,15,45,1-12,2015,3.362,malin.melin@scilifelab.uu.se,13/01/2016,,25880391
309,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),"Cedernaes J, Osler ME, Voisin S, Broman J-E, Vogel H, Dickson SL, Zierath JR, Schiöth HB, Benedict C",Acute Sleep Loss Induces Tissue-Specific Epigenetic and Transcriptional Alterations to Circadian Clock Genes in Men,J Clin Endocrinol Metab,100,9,E1255-1261,2015,6.209,mathias.brannvall@medsci.uu.se,15/01/2016,,26168277
632,Regional,Array and Analysis Facility,"Charles Walther, Markus Mayrhofer, Jenny Nilsson, Jakob Hofvander, Tord Jonson, Nils Mandahl, Ingrid Øra, David Gisselsson and Fredrik Mertens.",Genetic heterogeneity in rhabdomyosarcoma revealed by SNP array analysis,"Genes, Chromosomes and Cancer",55,1,3-15,2016,4,anders.isaksson@medsci.uu.se,15/01/2016,,26482321
418,National Genomics Infrastructure,NGI Stockholm (Genomics Applications),"Chase A, Leung W, Tapper W, Jones AV, Knoops L, Rasi C, Forsberg LA, Guglielmelli P, Zoi K, ..., Cross NC",Profound parental bias associated with chromosome 14 acquired uniparental disomy indicates targeting of an imprinted locus.,Leukemia,29,10,2069-2074,2015,10.431,per.kraulis@scilifelab.se,15/01/2016,,26114957
584,National Genomics Infrastructure,NGI Stockholm (Genomics Production),"Chase A, Leung W, Tapper W, Jones AV, Knoops L, Rasi C, Forsberg LA, Guglielmelli P, Zoi K, ..., Cross NC",Profound parental bias associated with chromosome 14 acquired uniparental disomy indicates targeting of an imprinted locus.,Leukemia,29,10,2069-2074,2015,10.431,per.kraulis@scilifelab.se,15/01/2016,,26114957
183,Bioinformatics,Bioinformatics Short-term Support and Infrastructure (BILS),"Chawade, A., Sandin, M., Teleman, J., Malmstrom, J., Levander, F.",Data processing has major impact on the outcome of quantitative label-free LC-MS analysis,J. Proteome Res.,14,2,676--687,2015,4.245,mikael.borg@bils.se,14/01/2016,,25407311
272,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),Chen D and Gyllensten U,Lessons and implications from association studies and post-GWAS analyses of cervical cancer,Trends Genet,31,1,41-54,2015,9.918,mathias.brannvall@medsci.uu.se,15/01/2016,,25467628
